"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","TX Prohibit","Reverse","Simplex TDMA","TDMA Adaptive","Encryption Type","Digital Encryption","Call Confirmation","Talk Around","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming"
"13","BawFaw Montana 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","Montana 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"14","BawFaw NA 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","NA 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"15","BawFaw Oregon 1","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","Oregon 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"16","BawFaw Parrot 1","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","Parrot 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"17","BawFaw PNW 1","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","PNW 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"18","BawFaw PNW 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","PNW 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"19","BawFaw PNW Reg 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","PNW Reg 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"20","BawFaw PS 1","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","PS 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"21","BawFaw PS 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","PS 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"22","BawFaw TAC 1","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","TAC 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"23","BawFaw TAC 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","TAC 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"24","BawFaw TAC 3","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","TAC 3","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"25","BawFaw TAC 310","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","TAC 310","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"26","BawFaw TAC 311","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","TAC 311","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"27","BawFaw TAC 312","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","TAC 312","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"28","BawFaw TAC 313","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","TAC 313","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"29","BawFaw TAC 314","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","TAC 314","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"30","BawFaw TAC 319","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","TAC 319","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"31","BawFaw USA 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","USA 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"32","BawFaw WASH 1","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","WASH 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"33","BawFaw WASH 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","WASH 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"34","BawFaw WW 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","WW 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"35","BawFaw Net 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","Net 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"40","B'ham AudTst 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","Audio Test","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"41","B'ham Bridge 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","USA 3100","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"42","B'ham BC 1","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","BC 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"43","B'ham Cal 1","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","California 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"44","B'ham CscdsE 1","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","Cascades East","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"45","B'ham Canada 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","Canada 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"46","B'ham Comm 1","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","Comm 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"47","B'ham DCI 1","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","DCI 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"48","B'ham DCI 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","DCI 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"49","B'ham Hawaii 1","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","Hawaii","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"50","B'ham Idaho 1","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","Idaho 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"51","B'ham I5","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","I5 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"52","B'ham Local 1","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","Local 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"53","B'ham Local 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","Local 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"54","B'ham Montana 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","Montana 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"55","B'ham NA 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","NA 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"56","B'ham Oregon 1","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","Oregon 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"57","B'ham Parrot 1","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","WASH 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"58","B'ham PNW 1","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","PNW 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"59","B'ham PNW 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","PNW 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"60","B'ham PNW Reg 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","PNW Reg 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"61","B'ham PS 1","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","PS 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"62","B'ham PS 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","PS 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"63","B'ham TAC 1","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","TAC 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"64","B'ham TAC 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","TAC 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"65","B'ham TAC 3","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","TAC 3","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"66","B'ham TAC 310","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","TAC 310","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"67","B'ham TAC 311","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","TAC 311","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"68","B'ham TAC 313","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","TAC 313","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"69","B'ham TAC 314","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","TAC 314","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"70","B'ham TAC 319","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","TAC 319","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"71","B'ham USA 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","USA 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"72","B'ham WASH 1","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","WASH 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"73","B'ham WASH 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","WASH 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"74","B'ham WW 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","WW 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"75","B'ham WW Eng 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","WW Eng 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"76","B'ham Net 2","440.92500","445.92500","D-Digital","High","12.5K","Off","Off","Net 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"81","BM Arizona","434.00000","434.00000","D-Digital","Low","12.5K","Off","Off","Arizona","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"82","BM Minnesota","434.00000","434.00000","D-Digital","Low","12.5K","Off","Off","Minnesota","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"83","BM Texas","434.00000","434.00000","D-Digital","Low","12.5K","Off","Off","Texas","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"84","BM Michigan 1","434.00000","434.00000","D-Digital","Low","12.5K","Off","Off","Michigan 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"85","BM Utah","434.00000","434.00000","D-Digital","Low","12.5K","Off","Off","Utah","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"86","BM Audio Test","434.00000","434.00000","D-Digital","Low","12.5K","Off","Off","Audio Test","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"87","BM Bridge","434.00000","434.00000","D-Digital","Low","12.5K","Off","Off","USA 3100","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"88","BM California","434.00000","434.00000","D-Digital","Low","12.5K","Off","Off","California 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"89","BM Hawaii","434.00000","434.00000","D-Digital","Low","12.5K","Off","Off","Hawaii","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"90","BM TAC 312","434.00000","434.00000","D-Digital","Low","12.5K","Off","Off","TAC 312","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"91","BM Idaho","434.00000","434.00000","D-Digital","Low","12.5K","Off","Off","Idaho 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"92","BM Montana","434.00000","434.00000","D-Digital","Low","12.5K","Off","Off","Montana 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
